Time(Seconds),Length(Seconds),Label(string),Confidence(double),Comment(string)
847.927434130778,8.39851108649778,moving-forward,1,
856.595940470488,9.75877240298675,idle,1,
866.679213216591,3.59764109608793,rotating,1,
870.484120496074,4.41657626678614,moving-forward,1,
875.155398279669,4.35744277144533,scooping,1,
879.587893582421,6.00193446681642,idle,1,
885.950431136718,4.82609132758069,scooping,1,
891.091254032835,3.47875876241698,dumping,1,
894.638320285753,6.02863543937281,scooping,1,
900.747820980529,12.1774216717465,rotating-loaded,1,
913.0771413726,4.32297903038139,dumping,1,
917.497425154735,1.73231882687062,rotating,1,
919.320937803479,7.07737075773346,scooping,1,
926.453883002651,2.40826248294387,rotating-loaded,1,
928.933161164416,3.70618729700675,dumping,1,
932.743366508953,2.1171750656307,rotating,1,
934.932026407057,18.5156680030202,scooping,1,
953.536148778308,2.71939505442868,rotating-loaded,1,
956.37430403064,2.65447932337284,dumping,1,
959.139615538681,7.01120518500668,rotating,1,
966.279258916429,13.3477472295693,scooping,1,
980.020965788551,4.21995180003235,dumping,1,
984.302118662548,2.55067000386343,rotating,1,
987.611683151071,16.3473761654182,rotating,1,
1004.32744666856,9.45807286129353,scooping,1,
1013.89322407195,1.38738776738489,rotating-loaded,1,
1015.37100661227,4.65221096106732,dumping,1,
1020.17202401204,26.879042519967,rotating,1,
1047.24317109148,10.3059541268267,scooping,1,
1057.72803785248,6.96348251812628,rotating,1,
1064.96989678285,10.0134878610655,scooping,1,
1075.15407140985,5.64042083968223,dumping,1,
1080.92057009958,2.74124452808542,rotating,1,
1083.78167344865,11.5628627213484,scooping,1,
1095.44892504351,2.57203190289511,rotating,1,
1098.18965414518,2.96221996321231,dumping,1,
1101.28720005719,3.01814983883091,rotating,1,
1104.4196656953,6.3871712046942,scooping,1,
1110.93002628044,2.53338365394804,rotating-loaded,1,
1113.54339277016,2.84907410242987,dumping,1,
1116.42881471859,12.1334849900932,rotating,1,
1128.66234651146,11.1890206504205,scooping,1,
1140.00941021981,2.31512829956499,rotating-loaded,1,
1142.44753516093,4.30688100574993,dumping,1,
1146.86801555783,6.4499075941668,rotating,1,
1153.43986521702,3.04592035869518,sweeping,1,
1156.58112758725,3.42666040353232,rotating,1,
1160.12695123243,5.21320984469026,sweeping,1,
1165.50446904669,3.31927218575765,rotating,1,
1168.99471457917,6.96070902483906,sweeping,1,
1180.26137858752,12.8460803564138,rotating,1,
1193.54168355575,2.50699796784029,moving-backwards,1,
1196.25737755766,1.65876557270636,rotating,1,
1198.12514230141,1.97920892197908,scooping,1,
1200.46742665567,6.89895681375583,rotating & moving backwards,1,
